value,label
395,SYNC
396,KIAA1522
397,YARS
398,S100PBP
399,FNDC5
400,HPCA
401,TMEM54
402,RNF19B
403,AZIN2
404,TRIM62
405,ZNF362
406,A3GALT2
407,PHC2
408,ZSCAN20
409,CSMD2
410,HMGB4
411,C1orf94
412,SMIM12
413,GJB5
414,GJB4
415,GJB3
416,GJA4
417,DLGAP3
418,TMEM35B
419,ZMYM6
420,ZMYM1
421,SFPQ
422,ZMYM4
423,KIAA0319L
424,NCDN
425,TFAP2E
426,PSMB2
427,C1orf216
428,CLSPN
429,AGO4
430,AGO1
431,AGO3
432,TEKT2
433,ADPRHL2
434,COL8A2
435,TRAPPC3
436,MAP7D1
437,THRAP3
438,SH3D21
439,EVA1B
440,STK40
441,LSM10
442,OSCP1
443,CSF3R
444,GRIK3
445,ZC3H12A
446,MEAF6
447,SNIP1
448,DNALI1
449,GNL2
450,RSPO1
451,C1orf109
452,CDCA8
453,EPHA10
454,YRDC
455,C1orf122
456,MTF1
457,INPP5B
458,SF3A3
459,FHL3
460,UTP11
461,POU3F1
462,RRAGC
463,MYCBP
464,GJA9
465,RHBDL2
466,AKIRIN1
467,NDUFS5
468,MACF1
469,BMP8A
470,PABPC4
471,HEYL
472,NT5C1A
473,HPCAL4
474,PPIE
475,BMP8B
476,OXCT2
477,TRIT1
478,MYCL
479,MFSD2A
480,CAP1
481,PPT1
482,RLF
483,TMCO2
484,ZMPSTE24
485,COL9A2
486,SMAP2
487,ZFP69B
488,ZFP69
489,EXO5
490,ZNF684
491,RIMS3
492,NFYC
493,KCNQ4
494,CITED4
495,CTPS1
496,SLFNL1
497,SCMH1
498,FOXO6
499,EDN2
500,HIVEP3
501,GUCA2B
502,GUCA2A
503,FOXJ3
504,RIMKLA
505,ZMYND12
506,PPCS
507,CCDC30
508,PPIH
509,YBX1
510,CLDN19
511,P3H1
512,C1orf50
513,TMEM269
514,SVBP
515,ERMAP
516,ZNF691
517,SLC2A1
518,EBNA1BP2
519,CFAP57
520,TMEM125
521,C1orf210
522,TIE1
523,MPL
524,CDC20
525,ELOVL1
526,MED8
527,SZT2
528,HYI
529,PTPRF
530,KDM4A
531,ST3GAL3
532,ARTN
533,IPO13
534,DPH2
535,ATP6V0B
536,B4GALT2
537,CCDC24
538,SLC6A9
539,KLF17
540,KLF18
541,DMAP1
542,ERI3
543,RNF220
544,TMEM53
545,ARMH1
546,KIF2C
547,BEST4
548,PLK3
549,TCTEX1D4
550,BTBD19
551,PTCH2
552,EIF2B3
553,HECTD3
554,UROD
555,ZSWIM5
556,HPDL
557,MUTYH
558,TOE1
559,TESK2
560,CCDC163
561,MMACHC
562,AKR1A1
563,NASP
564,CCDC17
565,GPBP1L1
566,TMEM69
567,IPP
568,MAST2
569,PIK3R3
570,TSPAN1
571,P3R3URF
572,POMGNT1
573,LURAP1
574,RAD54L
575,LRRC41
576,NSUN4
577,FAAH
578,DMBX1
579,TMEM275
580,KNCN
581,MKNK1
