"X","Y"
16002,7315
9449,17764
9947,10511
14489,9057
12719,6012
19290,15580
16259,12681
13734,11813
14744,12103
13227,8913
14996,11957
14494,14279
9445,13993
9950,13412
15004,20370
8693,19071
12215,6303
18284,19352
17523,14856
20551,14563
7680,15590
19539,11083
10965,19794
20550,13403
10205,16168
7426,13415
10200,11526
11218,20809
9191,11818
7678,13560
16761,9490
19539,11373
15759,17904
9947,10221
7678,12979
14744,12393
10453,11671
9951,14573
14497,18340
11466,16022
8439,17185
12476,15441
15761,20225
8937,9352
18786,16160
12727,14715
8438,16605
10455,13992
11963,6448
19033,9633
15002,18340
15001,17469
11724,21389
20299,14418
20805,15578
9445,13413
15504,15438
7422,9353
12216,7173
20044,11953
14493,13698
9194,14719
9448,16604
7175,14720
6420,17767
16266,20804
13732,9493
8181,11528
9198,19650
9956,20375
8434,12253
12980,15440
8186,16460
21055,13402
5407,13997
8940,12833
18284,19642
17775,15001
8693,19361
10450,8770
15250,13843
19040,18046
10198,8625
9443,10802
12722,8913
14247,21096
11463,12251
5661,15592
11974,19503
19797,17320
12472,11379
17275,19933
12480,20083
7429,17476
11209,10655
11471,21244
7176,16461
17519,10214
17013,9635
13739,17325
8437,15445
15501,11957
11209,10945
6672,17332
6419,16027
15005,21241
17770,9489
14741,8621
6922,14866
8687,12398
8181,10658
7429,16606
8182,11818
18531,13115
5909,11095
15252,15874
15002,18050
11714,10655
8184,14719
17271,15582
13737,15005
12228,21098
21055,12822
13740,18776
10204,15878
13729,6591
17267,10940
6673,17912
17272,17032
10711,17618
12986,21823
10960,14572
12979,14280
14240,12393
17528,20078
9946,9061
11464,13701
8688,13849
18032,19207
19289,13839
15504,15728
13232,14425
8187,18201
14752,20806
13729,6301
18779,8328
6417,13996
7929,11383
8692,17620
17014,10795
17777,16742
16254,7460
6167,17332
10455,13702
5913,14867
16771,20224
17014,10505
15499,9346
7926,8773
8690,15589
8185,15300
9701,17329
14499,20081
11965,9349
9699,15588
11462,11380
14246,19356
11458,6739
16005,10506
12982,16891
17526,18337
12473,12540
13483,13409
6418,15446
17771,10359
7430,17766
15757,15873
12468,7028
18537,19787
20045,12533
8434,11383
12220,12105
8937,9642
17016,12536
11470,19503
16259,12391
16512,13406
10204,15298
17268,12100
5913,15157
10201,11817
9199,20811
17516,7603
10710,16458
16265,19644
19291,15870
6420,17477
9448,16314
7431,18927
17015,11375
11969,13701
10711,18199
7171,11239
15750,8330
11713,9204
6925,17477
14746,13843
20049,17465
13481,11378
17770,9199
16009,15728
8441,19796
8936,8772
8694,19941
15750,7750
9954,18344
9955,19505
14242,14714
9953,17184
7423,10514
16769,18483
10959,12541
10198,8916
12731,18777
18281,15581
14235,7171
6918,10224
19036,13114
12975,9638
20042,9632
13484,14280
12725,12104
12986,21533
20802,12677
10198,8335
17267,11230
7428,16316
8434,11673
14994,9636
8189,19941
14493,13118
15750,8620
5914,16607
6418,15156
16769,18773
17274,18483
14241,13554
8189,19651
12984,19502
6414,11385
13742,20517
18534,16596
8942,15154
15004,20080
14488,8186
10208,19359
7427,14285
6669,13851
17527,19788
7931,13414
17777,17032
8944,17475
15000,15729
10203,14718
17273,18193
16011,17468
8436,14574
10201,12687
12720,6882
9953,17474
7674,8918
16258,12101
9191,12108
20548,11082
11461,10510
16764,12681
8688,14139
11971,15441
7172,12109
12219,11235
7177,17331
12977,12249
8440,18636
8686,11818
10963,17473
13482,12249
15759,18484
16762,10940
12981,16021
15498,9056
12480,20663
13479,8187
16762,10360
10710,17328
12980,14570
19542,14564
12974,8188
10954,7609
10454,12832
10459,18344
14234,6301
9701,17619
7176,16171
11218,19939
8184,14139
17023,20079
7171,10659
16260,14132
13236,19357
17779,19353
12473,12830
8938,11383
11712,8334
11715,11235
11967,10800
17523,15436
12225,17907
14490,10217
5660,14722
18781,10939
13480,9928
8946,20376
16758,6879
14244,17035
14992,6735
8690,15879
15761,20805
16008,14857
6419,16607
8433,11093
8431,8482
17012,7604
13732,9202
9444,12543
16771,20514
18779,8618
7676,11529
16266,20514
11462,10800
13225,6882
13983,7897
12217,8624
16259,13262
7927,9063
16009,15438
9188,8336
11964,8189
17265,8909
15257,21386
12984,19792
13226,8042
12729,16166
10703,8915
17775,14711
6921,13125
7431,19217
13477,6447
16510,11666
11712,8914
11207,8334
14998,14278
15500,10216
9694,9786
18279,13260
12481,21243
7173,13270
15496,6735
11719,16167
12730,17616
13228,9783
13238,21678
11972,16312
6666,10079
18789,19062
17013,9054
6667,12110
9704,20520
15752,10361
8692,17910
13731,8332
7177,17041
14242,15004
16011,18049
8945,18635
16509,9925
7675,9788
10453,12252
12730,17907
16506,6734
6671,15591
19288,12679
12986,21243
19284,8617
10961,15152
20804,14998
19293,18481
7928,10223
10713,19939
10460,19214
5912,14286
11966,9929
13224,6302
19293,19061
7428,15445
8185,15880
8945,18925
13992,17470
11710,6593
9447,15734
16760,8910
12219,10364
7428,16026
17017,13986
12982,17471
9447,15444
14998,13988
12467,6448
11711,7174
10201,12397
13491,21532
10957,11381
12976,11089
