"X","Y"
6163,12400
14498,18630
6416,13416
11207,7754
12218,9494
6416,12835
8942,15734
17022,19208
12721,7753
10963,17763
20046,13693
20044,12243
9695,10367
11459,8189
14749,17615
12724,11524
16008,13987
11967,11380
9701,17039
5914,16317
8183,13269
10196,6885
11469,18923
9693,8336
8435,13124
6163,12981
15246,8911
14499,19791
6924,16316
11210,11526
18527,8763
11213,15007
19291,16160
7932,15155
9697,12687
10207,19069
8685,10367
13994,20081
12217,9204
7934,17476
9693,8626
18784,13549
15758,16453
12216,7463
12224,16456
14489,9637
14745,12973
16765,14422
19034,11664
7682,17621
15758,16743
15254,17614
8684,9207
9198,19360
11459,7319
13236,18776
18276,10649
19293,18771
12217,8914
15507,18339
19038,15725
13233,15875
10203,14428
6918,9934
16516,17758
16759,7749
10449,7610
9193,13848
13989,14279
10452,10221
13234,17036
15252,15293
7426,13705
12476,16021
8687,12108
6923,16026
13235,17616
17523,15146
20549,12533
15506,17469
17527,18918
13730,7462
8438,16025
9450,18925
15753,11812
16258,11811
13490,21242
15244,6880
8946,19796
15251,14423
17267,11520
13996,21822
15002,17759
8939,12253
16263,17613
12468,7318
16766,15002
9696,11527
9948,11672
19036,13694
18530,11954
8693,19651
7682,17911
8179,8627
12728,15586
17519,10505
20551,14273
6672,17622
10956,9350
9451,20375
12226,18197
9189,9787
18782,11809
9191,11527
16009,15148
11964,7608
13739,16745
10713,20519
8180,10078
7931,13994
15500,11087
16761,9780
8943,16605
9442,10222
9703,20230
8431,8192
18788,17901
11716,12395
12224,16166
15749,6590
15508,19500
14742,9782
19796,16740
9700,16459
16257,10070
5911,12546
13994,19791
14491,11087
15256,20225
14743,10652
10958,11961
9702,18199
15752,10071
10451,9931
14493,13408
8940,13703
13985,10218
14753,21676
17265,8619
12723,10074
19291,16450
17015,11665
16510,11086
7179,19072
9195,15589
8435,13414
11969,13411
16255,8620
13984,9347
16518,20369
17778,17612
5657,11531
15754,12682
6164,13851
7930,13124
7681,17041
9442,10512
20804,14418
10709,15297
16519,20949
11214,16167
15754,12102
17012,8474
15247,9781
10458,16893
12473,13120
6671,15881
9193,13558
17778,18192
14487,7026
18786,15870
8183,13849
16256,9200
17774,13841
16512,13697
9191,11237
9698,14428
11467,16312
18277,11229
18780,9488
14994,9056
